Accession,Family
AC_000012.1,Adenoviridae
AC_000189.1,Adenoviridae
AC_000191.1,Adenoviridae
AE002163.1,Microviridae
AF005370.1,Orthoherpesviridae
AF009606.1,Flaviviridae
AF012825.2,Poxviridae
AF013360.1,Flaviviridae
AF013366.1,Flaviviridae
AF013368.1,Flaviviridae
AF013369.1,Flaviviridae
AF013370.1,Flaviviridae
AF013371.1,Flaviviridae
AF013375.1,Flaviviridae
AF013377.1,Flaviviridae
AF013384.1,Flaviviridae
AF013390.1,Flaviviridae
AF013394.1,Flaviviridae
AF013397.1,Flaviviridae
AF013401.1,Flaviviridae
AF013402.1,Flaviviridae
AF013407.1,Flaviviridae
AF013413.1,Flaviviridae
AF014388.1,Dicistroviridae
AF014953.1,Paramyxoviridae
AF016916.1,Baculoviridae
AF017149.3,Paramyxoviridae
AF017780.1,Betaflexiviridae
AF020051.3,Secoviridae
AF020334.1,Spinareoviridae
AF020335.1,Spinareoviridae
AF020336.1,Spinareoviridae
AF020541.1,Picornaviridae
AF022442.1,Potyviridae
AF022937.1,Dicistroviridae
AF023848.1,Potyviridae
AF025538.1,Tospoviridae
AF027657.1,Poxviridae
AF028004.1,Potyviridae
AF028022.1,Hantaviridae
AF029859.2,Picornaviridae
AF030027.1,Orthoherpesviridae
AF030154.1,Adenoviridae
AF033807.1,Retroviridae
AF033808.1,Retroviridae
AF033809.1,Retroviridae
AF033810.1,Retroviridae
AF033811.1,Retroviridae
AF033813.1,Retroviridae
AF033815.1,Retroviridae
AF033818.1,Retroviridae
AF035200.1,Tymoviridae
AF035201.1,Tymoviridae
AF036092.3,Adenoviridae
AF036710.1,Parvoviridae
AF037218.1,Orthoherpesviridae
AF037268.2,Closteroviridae
AF037405.1,Flaviviridae
AF038665.1,Pseudototiviridae
AF039063.1,Narnaviridae
AF039080.1,Pseudototiviridae
AF039205.1,Picornaviridae
AF043303.1,Parvoviridae
AF046996.1,Hepadnaviridae
AF047013.1,Partitiviridae
AF049704.1,Spinareoviridae
AF049705.1,Spinareoviridae
AF052723.1,Retroviridae
AF052755.1,Paramyxoviridae
AF055846.1,Picornaviridae
AF057136.1,Betaflexiviridae
AF057533.1,Potyviridae
AF059718.1,Spinareoviridae
AF059719.1,Spinareoviridae
AF059722.1,Spinareoviridae
AF059723.1,Spinareoviridae
AF059726.1,Spinareoviridae
AF059727.1,Spinareoviridae
AF062037.1,Permutotetraviridae
AF062926.1,Potyviridae
AF063097.1,Peduoviridae
AF065411.1,Leisingerviridae
AF070476.1,Flaviviridae
AF071878.1,Circoviridae
AF074946.1,Adenoviridae
AF074966.1,Retroviridae
AF078669.1,Birnaviridae
AF081020.2,Rhabdoviridae
AF081810.1,Baculoviridae
AF082843.1,Hepeviridae
AF083069.1,Picornaviridae
AF083132.1,Adenoviridae
AF083424.1,Orthoherpesviridae
AF083501.3,Orthoherpesviridae
AF083975.2,Adenoviridae
AF085222.2,Aliceevansviridae
AF086833.2,Filoviridae
AF092924.1,Iflaviridae
AF102884.1,Alphatetraviridae
AF104985.2,Rhabdoviridae
AF108105.1,Adenoviridae
AF111000.1,Hepadnaviridae
AF114383.1,Picornaviridae
AF115102.1,Aliceevansviridae
AF125163.2,Peduoviridae
AF127178.1,Pseudototiviridae
AF127929.2,Potyviridae
AF131950.1,Papillomaviridae
AF133128.1,Tospoviridae
AF133242.2,Plectroviridae
AF133290.1,Partitiviridae
AF139758.1,Spinareoviridae
AF139759.1,Spinareoviridae
AF139760.1,Spinareoviridae
AF142425.1,Baculoviridae
AF144617.2,Flaviviridae
AF144692.1,Flaviviridae
AF145054.1,Aliceevansviridae
AF147498.1,Rhabdoviridae
AF148805.2,Orthoherpesviridae
AF151794.2,Retroviridae
AF151983.1,Papillomaviridae
AF155037.1,Corticoviridae
AF157706.1,Orthoherpesviridae
AF158101.6,Straboviridae
AF158600.2,Aliceevansviridae
AF160501.1,Hepadnaviridae
AF162221.1,Baculoviridae
AF169561.2,Potyviridae
AF169823.1,Baculoviridae
AF170028.1,Betaflexiviridae
AF170722.1,Poxviridae
AF170726.2,Poxviridae
AF174585.1,Bromoviridae
AF178440.1,Dicistroviridae
AF178654.1,Paramyxoviridae
AF180391.2,Arteriviridae
AF183905.1,Dicistroviridae
AF185954.1,Potyviridae
AF185957.1,Potyviridae
AF185958.1,Potyviridae
AF188515.1,Hypoviridae
AF190123.1,Caulimoviridae
AF191796.1,Halspiviridae
AF191797.1,Pleolipoviridae
AF192260.1,Parvoviridae
AF193864.1,Hepadnaviridae
AF195000.2,Tymoviridae
AF196645.2,Birnaviridae
AF198100.1,Poxviridae
AF201902.1,Retroviridae
AF203527.1,Potyviridae
AF203537.1,Potyviridae
AF204951.2,Phycodnaviridae
AF206663.2,Astroviridae
AF207658.1,Adenoviridae
AF207660.1,Adenoviridae
AF208001.1,Solemoviridae
AF210709.2,Tymoviridae
AF212302.2,Paramyxoviridae
AF214014.1,Tospoviridae
AF218039.1,Dicistroviridae
AF218360.1,Spinareoviridae
AF218798.2,Tombusviridae
AF221122.1,Parvoviridae
AF224336.1,Adenoviridae
AF225953.1,Secoviridae
AF225954.1,Secoviridae
AF226160.1,Bromoviridae
AF226161.1,Bromoviridae
AF226162.1,Bromoviridae
AF226851.1,Cystoviridae
AF226853.1,Cystoviridae
AF227196.2,Roniviridae
AF227240.1,Papillomaviridae
AF228063.1,Arenaviridae
AF228515.1,Potyviridae
AF228516.1,Potyviridae
AF228693.1,Potyviridae
AF232689.2,Orthoherpesviridae
AF234533.1,Rhabdoviridae
AF235033.1,Bromoviridae
AF235165.1,Bromoviridae
AF235166.1,Bromoviridae
AF237816.1,Betaflexiviridae
AF238884.1,Gammaflexiviridae
AF241168.1,Polyomaviridae
AF241359.1,Picornaviridae
AF241411.1,Hepadnaviridae
AF246940.1,Picobirnaviridae
AF249332.2,Adenoviridae
AF250874.1,Picornaviridae
AF252610.1,Circoviridae
AF252854.1,Adenoviridae
AF253419.1,Flaviviridae
AF258784.1,Adenoviridae
AF261666.1,Cystoviridae
AF261761.1,Anelloviridae
AF265566.2,Tymoviridae
AF266518.2,Tombusviridae
AF270937.1,Baculoviridae
AF271059.2,Baculoviridae
AF277662.1,Bromoviridae
AF277675.1,Dicistroviridae
AF278534.1,Bromoviridae
AF278535.1,Bromoviridae
AF281817.1,Orthoherpesviridae
AF282468.1,Spinareoviridae
AF282469.1,Spinareoviridae
AF282470.1,Spinareoviridae
AF282930.1,Permutotetraviridae
AF283103.1,Closteroviridae
AF291073.1,Anelloviridae
AF291683.1,Spinareoviridae
AF291685.1,Spinareoviridae
AF291686.3,Spinareoviridae
AF291703.2,Hantaviridae
AF291866.1,Orthoherpesviridae
AF293960.1,Papillomaviridae
AF295543.1,Pneumoviridae
AF296087.1,Picornaviridae
AF296088.1,Picornaviridae
AF296089.1,Picornaviridae
AF296090.1,Picornaviridae
AF296092.1,Picornaviridae
AF296093.1,Picornaviridae
AF296094.1,Picornaviridae
AF296095.1,Picornaviridae
AF296440.1,Chrysoviridae
AF296441.1,Chrysoviridae
AF296442.1,Chrysoviridae
AF297176.1,Chrysoviridae
AF297177.1,Chrysoviridae
AF297178.1,Chrysoviridae
AF298895.2,Paramyxoviridae
AF303045.2,Baculoviridae
AF303741.1,Iridoviridae
AF304460.1,Coronaviridae
AF306496.1,Microviridae
AF308158.2,Alphaflexiviridae
AF311056.1,Flaviviridae
AF314662.1,Betaflexiviridae
AF315308.1,Betaflexiviridae
AF316992.1,Partitiviridae
AF319782.2,Orthoherpesviridae
AF320576.1,Andersonviridae
AF321057.1,Virgaviridae
AF323747.1,Iflaviridae
AF325155.1,Baculoviridae
AF325528.1,Poxviridae
AF325840.1,Pseudototiviridae
AF326573.1,Flaviviridae
AF326750.2,Picornaviridae
AF326751.2,Picornaviridae
AF326754.2,Picornaviridae
AF326764.2,Picornaviridae
AF327920.2,Picornaviridae
AF331718.1,Flaviviridae
AF332093.3,Nimaviridae
AF332868.1,Virgaviridae
AF334111.2,Duinviridae
AF335429.2,Aspiviridae
AF337175.1,Pseudototiviridae
AF338823.1,Adenoviridae
AF342731.1,Birnaviridae
AF345523.1,Anelloviridae
AF345526.1,Anelloviridae
AF347695.1,Caulimoviridae
AF348210.1,Potyviridae
AF348409.1,Anelloviridae
AF349909.1,Papillomaviridae
AF352024.1,Solemoviridae
AF353511.1,Coronaviridae
AF356083.1,Spinareoviridae
AF357836.1,Caulimoviridae
AF359556.1,Spinareoviridae
AF361253.1,Picornaviridae
AF363455.1,Picornaviridae
AF364175.3,Caulimoviridae
AF368033.1,Spinareoviridae
AF368035.1,Spinareoviridae
AF368036.1,Spinareoviridae
AF368037.1,Spinareoviridae
AF368272.1,Secoviridae
AF369029.2,Nimaviridae
AF371337.2,Pneumoviridae
AF371960.1,Iridoviridae
AF375296.1,Parvoviridae
AF376034.1,Orthoherpesviridae
AF380138.1,Poxviridae
AF389451.1,Iridoviridae
AF389452.1,Spinareoviridae
AF389454.1,Spinareoviridae
AF389455.1,Spinareoviridae
AF389463.1,Spinareoviridae
AF389464.1,Spinareoviridae
AF389466.1,Spinareoviridae
AF391797.1,Retroviridae
AF394196.1,Adenoviridae
AF395873.1,Spinareoviridae
AF395898.3,Virgaviridae
AF399011.1,Chimalliviridae
AF399672.1,Potyviridae
AF402620.2,Tombusviridae
AF403390.1,Spinareoviridae
AF403391.1,Spinareoviridae
AF403392.1,Spinareoviridae
AF403394.1,Spinareoviridae
AF403395.1,Spinareoviridae
AF403398.1,Spinareoviridae
AF403399.1,Spinareoviridae
AF403400.1,Spinareoviridae
AF403401.1,Spinareoviridae
AF403402.1,Spinareoviridae
AF403403.1,Spinareoviridae
AF403405.1,Spinareoviridae
AF403406.1,Spinareoviridae
AF403738.1,Baculoviridae
AF404346.1,Orthomyxoviridae
AF404509.2,Caulimoviridae
AF406744.1,Alphaflexiviridae
AF406813.1,Picornaviridae
AF406967.1,Parvoviridae
AF408636.1,Cystoviridae
AF410153.1,Poxviridae
AF414119.3,Closteroviridae
AF414372.2,Picornaviridae
AF416471.1,Alphasatellitidae
AF418294.1,Spinareoviridae
AF418296.1,Spinareoviridae
AF418297.1,Spinareoviridae
AF418298.1,Spinareoviridae
AF418299.1,Spinareoviridae
AF418301.1,Spinareoviridae
AF418302.1,Spinareoviridae
AF419318.1,Papillomaviridae
AF427517.1,Arenaviridae
AF428260.1,Paulinoviridae
AF434161.1,Nairoviridae
AF435014.1,Anelloviridae
AF436128.1,Papillomaviridae
AF436130.1,Papillomaviridae
AF438165.1,Poxviridae
AF440570.1,Nimaviridae
AF440571.2,Lipothrixviridae
AF441393.1,Tombusviridae
AF442959.1,Polyomaviridae
AF447397.1,Virgaviridae
AF450318.1,Spinareoviridae
AF450319.1,Spinareoviridae
AF450320.1,Spinareoviridae
AF451898.1,Nudiviridae
AF452449.2,Inoviridae
AF452884.3,Tombusviridae
AF453500.3,Inoviridae
AF454635.1,Caulimoviridae
AF457102.1,Paramyxoviridae
AF457465.1,Papillomaviridae
AF461742.1,Permutotetraviridae
AF473549.1,Partitiviridae
AF473864.1,Rhabdoviridae
AF478169.1,Orthoherpesviridae
AF480884.1,Orthoherpesviridae
AF482758.2,Poxviridae
AF484251.1,Alphaflexiviridae
AF485256.1,Arenaviridae
AF485261.1,Arenaviridae
AF485262.1,Arenaviridae
AF485263.1,Arenaviridae
AF486184.1,Papillomaviridae
AF493143.1,Autotranscriptaviridae
AF498323.1,Papillomaviridae
AF499025.1,Potyviridae
AF499596.1,Baculoviridae
AF499635.1,Picornaviridae
AF499636.1,Picornaviridae
AF499637.1,Picornaviridae
AF499639.1,Picornaviridae
AF499640.1,Picornaviridae
AF499641.1,Picornaviridae
AF499642.1,Picornaviridae
AF499643.1,Picornaviridae
AF499738.1,Potyviridae
AF499925.1,Spinareoviridae
AF499926.1,Spinareoviridae
AF499927.1,Spinareoviridae
AF499928.1,Spinareoviridae
AF502599.1,Papillomaviridae
AF512031.3,Baculoviridae
AF512830.1,Arenaviridae
AF512832.1,Arenaviridae
AF513032.1,Rountreeviridae
AF522874.1,Filoviridae
AF527633.1,Pseudototiviridae
AF531420.1,Papillomaviridae
AF533768.1,Orthoherpesviridae
AF534641.1,Mitoviridae
AF534906.1,Adenoviridae
AF536531.1,Dicistroviridae
AF538686.2,Potyviridae
AF538689.1,Picornaviridae
AF539999.1,Baculoviridae
AF542082.1,Spinareoviridae
AF546702.1,Picornaviridae
AF547984.1,Baculoviridae
AH005614.2,Pseudoviridae
AH009795.2,Spinareoviridae
AJ001691.1,Potyviridae
AJ004930.1,Mitoviridae
AJ005637.1,Hantaviridae
AJ005695.1,Picornaviridae
AJ005966.1,Alphasatellitidae
AJ010697.1,Betaflexiviridae
AJ011099.1,Caliciviridae
AJ011380.1,Picornaviridae
AJ011647.1,Hantaviridae
AJ011649.1,Hantaviridae
AJ012005.1,Virgaviridae
AJ012006.2,Virgaviridae
AJ131403.1,Potyviridae
AJ131569.1,Hepadnaviridae
AJ131571.1,Hepadnaviridae
AJ131573.1,Hepadnaviridae
AJ131574.1,Hepadnaviridae
AJ132180.1,Nanoviridae
AJ132183.1,Nanoviridae
AJ132268.1,Potyviridae
AJ132269.1,Potyviridae
AJ132344.1,Alphasatellitidae
AJ132576.1,Virgaviridae
AJ132577.1,Virgaviridae
AJ132579.1,Virgaviridae
AJ132755.1,Mitoviridae
AJ132756.1,Mitoviridae
AJ133521.1,Metaviridae
AJ223596.1,Virgaviridae
AJ223597.1,Virgaviridae
AJ223598.1,Virgaviridae
AJ225173.1,Picornaviridae
AJ238373.1,Papillomaviridae
AJ238493.1,Alphasatellitidae
AJ238607.1,Virgaviridae
AJ242984.1,Flaviviridae
AJ243719.1,Virgaviridae
AJ243766.2,Potyviridae
AJ249939.1,Caliciviridae
AJ251805.1,Autotranscriptaviridae
AJ251937.1,Hepadnaviridae
AJ270057.1,Microviridae
AJ271965.2,Coronaviridae
AJ272327.1,Bromoviridae
AJ272328.2,Bromoviridae
AJ272329.1,Bromoviridae
AJ277091.1,Caulimoviridae
AJ277435.1,Secoviridae
AJ277556.1,Virgaviridae
AJ278875.1,Secoviridae
AJ290434.1,Nanoviridae
AJ292226.1,Betaflexiviridae
AJ292230.1,Alphaflexiviridae
AJ293568.1,Poxviridae
AJ293984.1,Spinareoviridae
AJ295948.1,Virgaviridae
AJ296311.1,Potyviridae
AJ297628.1,Potyviridae
AJ298033.1,Potyviridae
AJ299445.1,Flaviviridae
AJ301633.2,Circoviridae
AJ304456.1,Circoviridae
AJ306719.1,Potyviridae
AJ307057.1,Potyviridae
AJ309022.1,Tymoviridae
AJ311524.1,Bornaviridae
AJ311875.1,Secoviridae
AJ312437.1,Potyviridae
AJ316085.1,Alphaflexiviridae
AJ318061.1,Betaflexiviridae
AJ318471.1,Autotranscriptaviridae
AJ344259.1,Rudiviridae
AJ400628.2,Papillomaviridae
AJ409145.1,Spinareoviridae
AJ409146.1,Spinareoviridae
AJ409147.1,Spinareoviridae
AJ409148.1,Spinareoviridae
AJ410616.1,Hantaviridae
AJ410617.1,Hantaviridae
AJ410618.2,Hantaviridae
AJ414696.1,Rudiviridae
AJ416153.1,Alphasatellitidae
AJ428554.1,Closteroviridae
AJ428555.1,Closteroviridae
AJ437279.1,Potyviridae
AJ437280.1,Potyviridae
AJ440010.1,Closteroviridae
AJ441111.1,Hepadnaviridae
AJ459382.1,Birnaviridae
AJ459383.1,Birnaviridae
AJ489744.2,Iflaviridae
AJ493062.2,Picornaviridae
AJ507388.2,Potyviridae
AJ507799.2,Orthoherpesviridae
AJ508757.2,Closteroviridae
AJ510223.1,Potyviridae
AJ512960.1,Alphasatellitidae
AJ516059.1,Betaflexiviridae
AJ544579.1,Retroviridae
AJ557128.1,Closteroviridae
AJ557129.1,Closteroviridae
AJ557804.1,Tombusviridae
AJ567472.1,Ungulaviridae
AJ579359.1,Alphasatellitidae
AJ580095.1,Potyviridae
AJ581528.1,Potyviridae
AJ581750.1,Orthoherpesviridae
AJ581751.1,Orthoherpesviridae
AJ581752.1,Orthoherpesviridae
AJ581753.1,Orthoherpesviridae
AJ604530.1,Demerecviridae
AJ607402.1,Tombusviridae
AJ607403.1,Tombusviridae
AJ608206.1,Solemoviridae
AJ608288.1,Paramyxoviridae
AJ620205.1,Papillomaviridae
AJ620208.1,Papillomaviridae
AJ620209.1,Papillomaviridae
AJ620210.1,Papillomaviridae
AJ620300.1,Betaflexiviridae
AJ621357.1,Secoviridae
AJ622822.1,Birnaviridae
AJ697969.1,Chimalliviridae
AJ749657.1,Virgaviridae
AJ781003.1,Caulimoviridae
AJ781165.1,Chrysoviridae
AJ781166.1,Chrysoviridae
AJ781168.1,Partitiviridae
AJ781397.1,Chrysoviridae
AJ781398.1,Chrysoviridae
AJ781401.1,Partitiviridae
AJ810084.2,Rhabdoviridae
AJ844470.1,Caliciviridae
AJ849636.2,Paramyxoviridae
AJ851866.1,Potyviridae
AJ854042.1,Lipothrixviridae
AJ854486.1,Adenoviridae
AJ863509.1,Betaflexiviridae
AJ867490.1,Solemoviridae
AJ867584.2,Rhabdoviridae
AJ875026.1,Rudiviridae
AJ877914.1,Endornaviridae
AJ888457.1,Bicaudaviridae
AJ889867.1,Potyviridae
AJ890348.1,Potyviridae
AJ890364.1,Phycodnaviridae
AJ920335.1,Birnaviridae
AJ920336.1,Birnaviridae
AJ969242.1,Plectroviridae
AM039800.1,Potyviridae
AM040148.1,Partitiviridae
AM040673.1,Inoviridae
AM040955.1,Virgaviridae
AM084415.1,Autosignataviridae
AM087121.2,Lipothrixviridae
AM087122.1,Lipothrixviridae
AM087123.2,Lipothrixviridae
AM087202.1,Partitiviridae
AM087548.1,Mitoviridae
AM087549.1,Mitoviridae
AM087550.1,Mitoviridae
AM087671.2,Secoviridae
AM111096.3,Phlegiviridae
AM156909.1,Drexlerviridae
AM157175.1,Potyviridae
AM158439.1,Betaflexiviridae
AM158908.1,Potyviridae
AM181350.1,Potyviridae
AM182028.1,Potyviridae
AM182569.2,Betaflexiviridae
AM183667.1,Autotranscriptaviridae
AM184113.1,Potyviridae
AM236765.1,Alphasatellitidae
AM398436.1,Virgaviridae
AM398843.1,Ascoviridae
AM419438.1,Graaviviridae
AM493895.2,Betaflexiviridae
AM711119.2,Tombusviridae
AM712239.1,Asfarviridae
AM712240.1,Asfarviridae
AM745758.1,Alphaflexiviridae
AM748741.2,Polyomaviridae
AM749299.1,Adenoviridae
AM749441.1,Mesyanzhinovviridae
AM749493.1,Alphasatellitidae
AM774001.1,Potyviridae
AM920542.1,Betaflexiviridae
AM940437.1,Solemoviridae
AM941711.6,Fimoviridae
AM990928.1,Solemoviridae
AM998806.1,Hantaviridae
AM998807.1,Hantaviridae
AM999771.1,Partitiviridae
AP006270.1,Baculoviridae
AP010838.1,Orthoherpesviridae
AP010907.1,Baculoviridae
AP011113.1,Straboviridae
AP013029.1,Herelleviridae
AP013055.1,Poxviridae
AP014693.1,Chimalliviridae
AP014927.1,Chimalliviridae
AP017903.1,Suoliviridae
AP017924.1,Chimalliviridae
AP017972.1,Chimalliviridae
AP018374.1,Adenoviridae
AP018495.1,Mamonoviridae
AP018714.1,Herelleviridae
AP018815.1,Lindbergviridae
AP018932.1,Straboviridae
AP019535.1,Lindbergviridae
AP019559.1,Demerecviridae
AP024483.1,Mimiviridae
AR101858.1,Adenoviridae
AUXO017923253.1,Ruviroviridae
AX025718.1,Anelloviridae
AX025830.1,Anelloviridae
AY004291.2,Solemoviridae
AY007231.1,Tombusviridae
AY012687.1,Arenaviridae
AY016208.1,Pseudoviridae
AY017339.1,Secoviridae
AY027810.2,Potyviridae
AY027935.1,Peduoviridae
AY029520.1,Spinareoviridae
