genome1,genome2,y
AB017630.1,JQ794501.1,1
AB017630.1,LC604019.1,1
AB017630.1,M11458.1,1
AB017630.1,X67673.1,1
AB017630.1,AY027810.2,1
AB017630.1,AY206394.2,1
AB017630.1,KC796074.1,0
AB017630.1,KP966619.1,0
AB017630.1,BK013880.1,0
AB017630.1,BK014046.1,0
AB017630.1,AY288927.2,0
AB017630.1,MH172261.1,0
AB017630.1,KT823701.1,0
AB017630.1,KY921761.1,0
AB017630.1,HQ871945.1,0
AB017630.1,OQ860980.1,0
AB021287.1,AY196904.1,1
AB021287.1,AY949771.1,1
AB021287.1,AB003289.1,1
AB021287.1,D87713.1,1
AB021287.1,U44402.1,1
AB021287.1,U45966.1,1
AB021287.1,U63715.1,1
AB021287.1,AF070476.1,1
AB021287.1,KC410872.1,1
AB021287.1,KC796080.1,1
AB021287.1,LR595873.1,0
AB021287.1,GU182406.1,0
AB021287.1,MH588546.1,0
AB021287.1,CASDWV010004942.1,0
AB021287.1,KY052047.1,0
AB021287.1,MW579555.1,0
AB021287.1,BK013594.1,0
AB021287.1,KP054273.1,0
AB021287.1,AB080598.1,0
AB021287.1,EF133465.1,0
AB025946.2,AB028668.1,1
AB025946.2,AB041007.1,1
AB025946.2,AB041963.1,1
AB025946.2,AB049608.1,1
AB025946.2,AF348409.1,1
AB025946.2,EF538882.1,1
AB025946.2,LC381845.1,1
AB025946.2,MH017546.1,1
AB025946.2,MH017563.1,1
AB025946.2,MH649114.1,1
AB025946.2,BK013755.1,0
AB025946.2,AY358026.2,0
AB025946.2,AB028668.1,1
AB025946.2,MW202813.1,0
AB025946.2,MH370821.1,0
AB025946.2,OM870970.1,0
AB025946.2,MN095542.1,0
AB025946.2,BK013555.1,0
AB025946.2,MK994515.1,0
AB025946.2,JN117278.1,0
AB026929.1,AB025946.2,1
AB026929.1,AB026931.1,1
AB026929.1,AB028668.1,1
AB026929.1,AB038625.1,1
AB026929.1,AB038627.1,1
AB026929.1,AB038630.1,1
AB026929.1,AB041007.1,1
AB026929.1,AB041958.2,1
AB026929.1,AB041963.1,1
AB026929.1,AB049608.1,1
AB026929.1,OM030336.1,0
AB026929.1,FN824512.2,0
AB026929.1,MW423801.1,0
AB026929.1,ON871624.1,0
AB026929.1,M62849.1,0
AB026929.1,DQ486030.3,0
AB026929.1,AF547984.1,0
AB026929.1,AY089993.1,0
AB026929.1,LC150566.1,0
AB026929.1,DQ079879.1,0
AB026931.1,AB025946.2,1
AB026931.1,AB026929.1,1
AB026931.1,AB028668.1,1
AB026931.1,AB038625.1,1
AB026931.1,AB038627.1,1
AB026931.1,AB038630.1,1
AB026931.1,AB041007.1,1
AB026931.1,AB041958.2,1
AB026931.1,AB041963.1,1
AB026931.1,AB049608.1,1
AB026931.1,CASDWV010002219.1,0
AB026931.1,MN428063.1,0
AB026931.1,CASDWV010000119.1,0
AB026931.1,KM434184.1,0
AB026931.1,EU240895.1,0
AB026931.1,MZ210001.1,0
AB026931.1,KY271397.1,0
AB026931.1,KX405002.1,0
AB026931.1,JX472402.1,0
AB026931.1,CASDWV010004946.1,0
AB027007.1,D83749.1,1
AB027007.1,AB219545.1,1
AB027007.1,AY206394.2,1
AB027007.1,AY623626.1,1
AB027007.1,DQ641248.1,1
AB027007.1,GQ916624.1,1
AB027007.1,JN008909.1,1
AB027007.1,JX156434.1,1
AB027007.1,KC691259.1,1
AB027007.1,MW972223.1,1
AB027007.1,MW434675.1,0
AB027007.1,AY601633.1,0
AB027007.1,KU886224.1,0
AB027007.1,CASDWV010000238.1,0
AB027007.1,KM102249.1,0
AB027007.1,KM205020.1,0
AB027007.1,FJ670570.2,0
AB027007.1,MZ209891.1,0
AB027007.1,FJ608550.1,0
AB027007.1,MW826429.1,0
AB027020.1,AF227240.1,1
AB027020.1,AF349909.1,1
AB027020.1,AF531420.1,1
AB027020.1,AJ620210.1,1
AB027020.1,AY395706.1,1
AB027020.1,AY609301.1,1
AB027020.1,AY684126.1,1
AB027020.1,AY904722.1,1
AB027020.1,AY904724.1,1
AB027020.1,D21208.1,1
AB027020.1,KP863800.1,0
AB027020.1,AY147187.1,0
AB027020.1,MH992510.1,0
AB027020.1,HF920637.1,0
AB027020.1,MG208881.1,0
AB027020.1,BK013584.1,0
AB027020.1,OQ368744.1,0
AB027020.1,AY847350.1,0
AB027020.1,BK013443.1,0
AB027020.1,CASDWV010002785.1,0
AB027021.1,AB040456.1,1
AB027021.1,AB745694.1,1
AB027021.1,AF131950.1,1
AB027021.1,AF227240.1,1
AB027021.1,AF436128.1,1
AB027021.1,AF436130.1,1
AB027021.1,AF531420.1,1
AB027021.1,AY609301.1,1
AB027021.1,AY684126.1,1
AB027021.1,AY722648.1,1
AB027021.1,MN621476.1,0
AB027021.1,KX977569.1,0
AB027021.1,MH817022.1,0
AB027021.1,CASDWV010001397.1,0
AB027021.1,KY328746.1,0
AB027021.1,MG641211.1,0
AB027021.1,KX852389.1,0
AB027021.1,CASDWV010001406.1,0
AB027021.1,MG571897.1,0
AB027021.1,OR416239.1,0
AB027511.1,AB000920.1,0
AB027511.1,AF416471.1,0
AB027511.1,AJ132180.1,1
AB027511.1,AJ290434.1,1
AB027511.1,EF546813.1,1
AB027511.1,FN436007.1,0
AB027511.1,FN436008.1,0
AB027511.1,FN658711.1,0
AB027511.1,GQ150778.1,1
AB027511.1,GQ274025.1,1
AB027511.1,MK189163.1,0
AB027511.1,AF013401.1,0
AB027511.1,JX444072.1,0
AB027511.1,MG425969.1,0
AB027511.1,MN617169.1,0
AB027511.1,MZ679720.1,0
AB027511.1,KY369299.1,0
AB027511.1,GQ404854.1,0
AB027511.1,KP282673.1,0
AB027511.1,KC008572.1,0
AB028668.1,AB025946.2,1
AB028668.1,AB041007.1,1
AB028668.1,AB041963.1,1
AB028668.1,AB049608.1,1
AB028668.1,AF348409.1,1
AB028668.1,EF538882.1,1
AB028668.1,LC381845.1,1
AB028668.1,MH017546.1,1
AB028668.1,MH017563.1,1
AB028668.1,MH649114.1,1
AB028668.1,CASDWV010004677.1,0
AB028668.1,MT074431.1,0
AB028668.1,MG600059.1,0
AB028668.1,OR545379.1,0
AB028668.1,CASDWV010004498.1,0
AB028668.1,MT733038.1,0
AB028668.1,HG421739.1,0
AB028668.1,JX514942.1,0
AB028668.1,LC592214.1,0
AB028668.1,KT160028.1,0
AB030277.1,BK064340.1,1
AB030277.1,BK014302.1,1
AB030277.1,BK064309.1,1
AB030277.1,BK064315.1,1
AB030277.1,BK064323.1,1
AB030277.1,BK064328.1,1
AB030277.1,BK064330.1,1
AB030277.1,KY884303.1,1
AB030277.1,KY965147.1,1
AB030277.1,BK064305.1,1
AB030277.1,AP017972.1,0
AB030277.1,MF176268.1,0
AB030277.1,KX100128.1,0
AB030277.1,KT160026.1,0
AB030277.1,KR139839.1,0
AB030277.1,FJ870917.1,0
AB030277.1,KY432927.1,0
AB030277.1,OM514520.1,0
AB030277.1,GQ258977.1,0
AB030277.1,KM817649.1,1
AB030940.1,AF277675.1,0
AB030940.1,OM777135.1,1
AB030940.1,HM777507.1,0
AB030940.1,AJ621357.1,1
AB030940.1,U67839.1,1
AB030940.1,AJ311875.1,1
AB030940.1,KU215538.1,1
AB030940.1,OR439368.1,1
AB030940.1,JQ437415.1,1
AB030940.1,M95497.1,1
AB030940.1,CASDWV010004962.1,0
AB030940.1,JF416318.1,0
AB030940.1,MH939436.1,0
AB030940.1,M15240.2,0
AB030940.1,OL472060.1,0
AB030940.1,KR902498.1,0
AB030940.1,CASDWV010003199.1,0
AB030940.1,KM502589.1,0
AB030940.1,FJ445169.1,0
AB030940.1,CASDWV010001115.1,0
AB032469.1,MK684348.1,1
AB032469.1,MZ189739.1,1
AB032469.1,D14449.2,1
AB032469.1,EU527979.1,1
AB032469.1,KJ789130.1,1
AB032469.1,KP784454.2,1
AB032469.1,ON241319.1,1
AB032469.1,KJ415259.1,1
AB032469.1,KJ572562.2,1
AB032469.1,ON241321.1,1
AB032469.1,HM999996.1,0
AB032469.1,LC621355.1,0
AB032469.1,BK013743.1,0
AB032469.1,BK014220.1,0
AB032469.1,AB930182.1,0
AB032469.1,MT074481.1,0
AB032469.1,CASDWV010002951.1,0
AB032469.1,X02380.1,0
AB032469.1,KY308269.1,0
AB032469.1,PP579741.1,0
AB033689.1,AB033691.1,1
AB033689.1,AJ132576.1,1
AB033689.1,KT225271.2,1
AB033689.1,L07937.1,1
AB033689.1,AJ238607.1,1
AB033689.1,AJ012005.1,1
AB033689.1,Z97873.1,1
AB033689.1,X78602.1,1
AB033689.1,AJ223596.1,1
AB033689.1,D13438.1,1
AB033689.1,JX219573.1,0
AB033689.1,MG745671.1,0
AB033689.1,KT832477.1,0
AB033689.1,KY569301.1,0
AB033689.1,BK013790.1,0
AB033689.1,M97264.1,0
AB033689.1,CASDWV010000839.1,0
AB033689.1,MT129769.1,0
AB033689.1,JX036360.1,0
AB033689.1,CASDWV010002328.1,0
AB033690.1,AB033692.1,1
AB033690.1,AJ012006.2,1
AB033690.1,AJ132577.1,1
AB033690.1,AJ132579.1,1
AB033690.1,AJ749657.1,1
AB033690.1,KP760462.1,1
AB033690.1,L07938.1,1
AB033690.1,AB976030.1,1
AB033690.1,AB017503.1,1
AB033690.1,AB089381.1,1
AB033690.1,MN928943.1,0
AB033690.1,MK682517.1,0
AB033690.1,OM514450.1,0
AB033690.1,J04340.1,0
AB033690.1,CASDWV010003811.1,0
AB033690.1,AF303045.2,0
AB033690.1,MZ209674.1,0
AB033690.1,OP072219.1,0
AB033690.1,PP496415.1,0
AB033690.1,BR001752.1,0
AB033691.1,AB033689.1,1
AB033691.1,AJ132576.1,1
AB033691.1,AJ238607.1,1
AB033691.1,KT225271.2,1
AB033691.1,L07937.1,1
AB033691.1,AJ012005.1,1
AB033691.1,MG919988.1,0
AB033691.1,X78602.1,1
AB033691.1,Z97873.1,1
AB033691.1,AB017503.1,1
AB033691.1,CASDWV010004011.1,0
AB033691.1,AF368037.1,0
AB033691.1,DQ851495.1,0
AB033691.1,CASDWV010004159.1,0
AB033691.1,MZ679784.1,0
AB033691.1,MK330762.1,0
AB033691.1,GU938300.1,0
AB033691.1,KM262845.1,0
AB033691.1,KC677662.1,0
AB033691.1,HM566191.1,0
AB033692.1,AB033690.1,1
AB033692.1,AJ012006.2,1
AB033692.1,AJ132577.1,1
AB033692.1,AJ132579.1,1
AB033692.1,AJ749657.1,1
AB033692.1,KP760462.1,1
AB033692.1,L07938.1,1
AB033692.1,AB976030.1,1
AB033692.1,AB017503.1,1
AB033692.1,AB089381.1,1
AB033692.1,U04608.1,0
AB033692.1,BK014121.1,0
AB033692.1,CP038625.1,0
AB033692.1,AY072921.2,0
AB033692.1,AB914765.1,0
AB033692.1,KF533720.2,0
AB033692.1,ON366412.2,0
AB033692.1,MT844067.1,0
AB033692.1,AY954969.1,0
AB033692.1,MT894005.1,0
AB033998.1,AF206663.2,1
AB033998.1,FJ571066.1,1
AB033998.1,Y15936.2,1
AB033998.1,GQ415660.1,1
AB033998.1,KM017741.1,1
AB033998.1,Y15937.2,1
AB033998.1,AY179509.1,1
AB033998.1,FJ222451.1,1
AB033998.1,FJ571067.1,1
AB033998.1,KF787112.3,1
AB033998.1,CASDWV010002152.1,0
AB033998.1,JQ809650.1,0
AB033998.1,MT498813.1,0
AB033998.1,AF250874.1,0
AB033998.1,MN131142.1,0
AB033998.1,MF479730.1,0
AB033998.1,DQ117579.1,0
AB033998.1,PP790227.1,0
